Sexs,Age,State,ParticipationRate,Lon,Lat,,Age group,Met (%),Did not meet (%),,Sports,Males_ParticipationRate,Females_ParticipationRate,Persons_ParticipationRate,Persons_Estimate,,,Year,Sex,Category,Percent,,,,Year,Males_Number,Females_Number,Persons_Number,Males_Percent,Females_Percent,Persons_Percent
Male,35-44 years,Australian Capital Territory,77,149,-35,,,,,,Rugby union,1.1,0,0.5,96.3,,,,,,,,,,,,,,,,
Male,35-44 years,Australia,63.3,134,-28,,,,,,Sailing,0.6,0.3,0.4,71.5,,,,,,,,,,,,,,,,
Male,45-54 years,New South Wales,63.8,147,-32,,,,,,Scuba diving / Snorkelling,0.5,0.1,0.2,45.7,,,,,,,,,,,,,,,,
Male,45-54 years,Victoria,59.7,145,-37,,,,,,Shooting sports,0.5,0,0.3,56.6,,,,,,,,,,,,,,,,
Male,45-54 years,Queensland,55.6,143,-21,,,,,,Skateboarding / Inline hockey / Roller sports,0.3,0.2,0.3,54.9,,,,,,,,,,,,,,,,
Male,45-54 years,South Australia,62,138,-30,,,,,,Softball / Tee ball,0.2,0.2,0.2,40.7,,,,,,,,,,,,,,,,
Male,45-54 years,Western Australia,68.2,122,-25,,,,,,Squash / Racquetball,0.9,0.2,0.6,104.5,,,,,,,,,,,,,,,,
Male,45-54 years,Tasmania,72.7,147,-42,,,,,,Surf sports,1.7,0.4,1.1,196,,,,,,,,,,,,,,,,
Male,45-54 years,Northern Territory,61,133,-19,,,,,,Swimming / Diving,5,7.6,6.4,1174.8,,,,,,,,,,,,,,,,
Male,45-54 years,Australian Capital Territory,80.4,149,-35,,,,,,Table tennis,0.3,0.1,0.2,41.3,,,,,,,,,,,,,,,,
Male,45-54 years,Australia,61.9,134,-28,,,,,,Tennis (indoor and outdoor),3.4,2.7,3,563.1,,,,,,,,,,,,,,,,
Male,55-64 years,New South Wales,52.8,147,-32,,,,,,Tenpin bowling,0.3,0.2,0.3,49,,,,,,,,,,,,,,,,
Male,55-64 years,Victoria,60.1,145,-37,,,,,,Trail bike riding,0.4,0,0.2,41.5,,,,,,,,,,,,,,,,
Male,55-64 years,Queensland,43.5,143,-21,,,,,,Triathlons,0.4,0.2,0.3,58.8,,,,,,,,,,,,,,,,
Male,55-64 years,South Australia,65.4,138,-30,,,,,,Volleyball (indoor and outdoor),0.5,0.6,0.5,91.9,,,,,,,,,,,,,,,,
Male,55-64 years,Western Australia,63.8,122,-25,,,,,,Walking for exercise,13.6,24.7,19.2,3544.9,,,,,,,,,,,,,,,,
Male,55-64 years,Tasmania,55.7,147,-42,,,,,,Water polo,0.1,0.1,0.1,24.9,,,,,,,,,,,,,,,,
Male,55-64 years,Northern Territory,43.6,133,-19,,,,,,Water volleyball / Rafting / Other water sports,0.2,0.1,0.1,27.5,,,,,,,,,,,,,,,,
Male,55-64 years,Australian Capital Territory,63.1,149,-35,,,,,,Waterskiing / Powerboating,0.7,0.2,0.5,88.7,,,,,,,,,,,,,,,,
Male,55-64 years,Australia,54.5,134,-28,,,,,,Weight lifting / Powerlifting / Body building,0.4,0.2,0.3,52.8,,,,,,,,,,,,,,,,
Male,65 years and over,New South Wales,53.4,147,-32,,,,,,Yoga,0.4,3,1.7,317.5,,,,,,,,,,,,,,,,
Male,65 years and over,Victoria,44,145,-37,,,,,,,,,,,,,,,,,,,,,,,,,,
